Date,Dayofweek,Event,Location
6-Jan,Friday,Art Show,Front
1-Feb,Wednesday,Stout Week,Front
2-Feb,Thursday,Stout Week,Front
3-Feb,Friday,Stout Week,Front
4-Feb,Saturday,Stout Week,Front
5-Feb,Sunday,Stout Week,Front
6-Feb,Monday,Stout Week,Front
7-Feb,Tuesday,Stout Week,Front
11-Feb,Saturday,Brewery Spotlight,Front
25-Feb,Saturday,Brewery Spotlight,Front
16-Mar,Thursday,Women Maker Spotlight,Front
8-Apr,Saturday,Dram Shop Anniversary,Front
15-Apr,Saturday,Brewery Spotlight,Front
19-Apr,Wednesday,Wine Tasting/Pop Up Bottle Sale,Front
6-May,Saturday,Women Maker Spotlight,Front
11-May,Thursday,Cider Week,Front
30-May,Tuesday,Tap Takeover,Front
2-Jun,Friday,Art Show,Front
22-Jun,Thursday,Marathon Weekend/Tap Takeover,Front
23-Jun,Friday,Marathon Weekend/Tap Takeover,Front
24-Jun,Saturday,Marathon Weekend/Tap Takeover,Front
25-Jun,Sunday,Marathon Weekend/Tap Takeover,Front
22-Jul,Saturday,Brewery Spotlight,Front
3-Aug,Thursday,Tap Takeover,Front
16-Aug,Wednesday,Sour Beer Week,Front
31-Aug,Thursday,Art Show,Front
26-Sep,Tuesday,Tap Takeover,Front
23-Oct,Monday,October Fest,Front
25-Oct,Wednesday,Wine Tasting,Front
25-Oct,Wednesday,Pumpkin Beer Week,Front
26-Oct,Thursday,Pumpkin Beer Week,Front
27-Oct,Friday,Pumpkin Beer Week,Front
28-Oct,Saturday,Pumpkin Beer Week,Front
29-Oct,Sunday,Pumpkin Beer Week,Front
30-Oct,Monday,Pumpkin Beer Week,Front
31-Oct,Tuesday,Pumpkin Beer Week,Front
1-Jan,Sunday,Tell Us Something,Central
1-Feb,Wednesday,Stout Week,Central
3-Feb,Friday,Stout Week,Central
2-Feb,Thursday,Stout Week,Central
4-Feb,Saturday,Stout Week,Central
5-Feb,Sunday,Stout Week,Central
6-Feb,Monday,Stout Week,Central
7-Feb,Tuesday,Stout Week,Central
15-Feb,Wednesday,Wine Tasting,Central
21-Feb,Tuesday,Pints for Planned Parenthood,Central
11-May,Thursday,Cider Week,Central
17-May,Wednesday,Wine Tasting,Central
21-May,Sunday,Last Day of Trivia before Summer,Central
21-Jun,Wednesday,Wine Tasting,Central
22-Jun,Thursday,Marathon Weekend/Tap Takeover,Central
23-Jun,Friday,Marathon Weekend/Tap Takeover,Central
24-Jun,Saturday,Marathon Weekend/Tap Takeover,Central
25-Jun,Sunday,Marathon Weekend/Tap Takeover,Central
26-Jul,Wednesday,Wine Tasting,Central
4-Aug,Friday,Art Show,Central
16-Aug,Wednesday,Sour Beer Week,Central
30-Aug,Wednesday,Wine Tasting,Central
17-Sep,Sunday,Trivia starts again,Central
23-Oct,Monday,October Fest,Central
25-Oct,Wednesday,Wine Tasting,Central
